feature_path: /home/yanda/Find_Physics_Zone/data/physics_features.pt
result_path: /home/yanda/Find_Physics_Zone/data/physics_probe_results.pt
num_samples: 1000
num_groups: 13

target stats:
  past_avg_speed: mean=6.461079, std=4.590510, min=0.000131, max=13.669900
  past_avg_yaw_rate: mean=0.117520, std=0.345270, min=-0.820861, max=1.339056
  past_heading_change: mean=0.352560, std=1.035810, min=-2.462581, max=4.017169
  future_speed: mean=6.486412, std=4.583001, min=0.000030, max=13.852595
  future_yaw_rate: mean=0.109618, std=0.459557, min=-1.597028, max=1.904219
  future_delta_yaw: mean=0.021924, std=0.091911, min=-0.319406, max=0.380844
  future_forward_progress: mean=1.297040, std=0.916930, min=-0.015063, max=2.770509
  future_lateral_offset: mean=0.000246, std=0.004928, min=-0.018418, max=0.018639
  future_speed_delta: mean=0.004315, std=0.126103, min=-0.342945, max=0.436749
  future_acc: mean=0.021574, std=0.630515, min=-1.714725, max=2.183747

===== summary sorted by r2: past_avg_speed =====
time_space_0    | mse=0.275255 | mae=0.395069 | nmae=0.086062 | r2=0.986938 | pearson=0.993518
time_space_1    | mse=0.573542 | mae=0.603796 | nmae=0.131531 | r2=0.972783 | pearson=0.986888
time_space_2    | mse=0.686595 | mae=0.658602 | nmae=0.143470 | r2=0.967418 | pearson=0.985571
time_space_9    | mse=1.004734 | mae=0.777722 | nmae=0.169419 | r2=0.952321 | pearson=0.978683
time_space_10   | mse=1.058463 | mae=0.772598 | nmae=0.168303 | r2=0.949771 | pearson=0.976123
time_space_3    | mse=1.196788 | mae=0.870044 | nmae=0.189531 | r2=0.943207 | pearson=0.974201
time_space_7    | mse=1.243944 | mae=0.859725 | nmae=0.187283 | r2=0.940969 | pearson=0.975326
time_space_8    | mse=1.245029 | mae=0.879292 | nmae=0.191546 | r2=0.940918 | pearson=0.974625
ar_2            | mse=1.376955 | mae=0.910488 | nmae=0.198341 | r2=0.934657 | pearson=0.968201
ar_5            | mse=1.526025 | mae=0.919638 | nmae=0.200335 | r2=0.927583 | pearson=0.964460
time_space_11   | mse=1.567521 | mae=0.973298 | nmae=0.212024 | r2=0.925614 | pearson=0.962673
next_state_hidden | mse=1.586401 | mae=0.977746 | nmae=0.212993 | r2=0.924718 | pearson=0.962223
ar_3            | mse=1.618366 | mae=0.990855 | nmae=0.215849 | r2=0.923201 | pearson=0.963559
time_space_4    | mse=1.658264 | mae=1.053759 | nmae=0.229552 | r2=0.921308 | pearson=0.964051
time_space_6    | mse=1.720240 | mae=1.012483 | nmae=0.220560 | r2=0.918367 | pearson=0.964455
ar_4            | mse=1.742645 | mae=1.037848 | nmae=0.226086 | r2=0.917304 | pearson=0.958850
ar_1            | mse=1.761896 | mae=1.029622 | nmae=0.224294 | r2=0.916390 | pearson=0.957877
ar_0            | mse=1.886203 | mae=1.076303 | nmae=0.234463 | r2=0.910491 | pearson=0.956266
time_space_5    | mse=1.904338 | mae=1.064985 | nmae=0.231997 | r2=0.909630 | pearson=0.962940
tokenizer_last  | mse=8.551432 | mae=2.344988 | nmae=0.510834 | r2=0.594195 | pearson=0.776835
raw_pose_yaw_full | mse=22.349829 | mae=4.006817 | nmae=0.872848 | r2=-0.060602 | pearson=0.108423
raw_pose_yaw_past | mse=23.418484 | mae=4.221825 | nmae=0.919686 | r2=-0.111314 | pearson=-0.125003
==========================================

===== summary sorted by r2: past_avg_yaw_rate =====
time_space_0    | mse=0.057003 | mae=0.169558 | nmae=0.491087 | r2=0.521833 | pearson=0.728057
time_space_1    | mse=0.062373 | mae=0.186762 | nmae=0.540916 | r2=0.476785 | pearson=0.709454
time_space_2    | mse=0.091427 | mae=0.217395 | nmae=0.629638 | r2=0.233066 | pearson=0.585363
time_space_10   | mse=0.101775 | mae=0.232811 | nmae=0.674286 | r2=0.146267 | pearson=0.506557
time_space_9    | mse=0.105099 | mae=0.237842 | nmae=0.688858 | r2=0.118382 | pearson=0.541050
time_space_7    | mse=0.105965 | mae=0.241198 | nmae=0.698578 | r2=0.111120 | pearson=0.492007
time_space_8    | mse=0.115699 | mae=0.256818 | nmae=0.743819 | r2=0.029465 | pearson=0.476736
ar_5            | mse=0.117260 | mae=0.260543 | nmae=0.754607 | r2=0.016369 | pearson=0.429806
raw_pose_yaw_past | mse=0.130076 | mae=0.269501 | nmae=0.780552 | r2=-0.091141 | pearson=-0.071629
tokenizer_last  | mse=0.131271 | mae=0.265358 | nmae=0.768552 | r2=-0.101160 | pearson=0.154852
ar_0            | mse=0.131299 | mae=0.279338 | nmae=0.809044 | r2=-0.101396 | pearson=0.368742
time_space_3    | mse=0.135265 | mae=0.264075 | nmae=0.764836 | r2=-0.134668 | pearson=0.492647
raw_pose_yaw_full | mse=0.136969 | mae=0.273070 | nmae=0.790889 | r2=-0.148959 | pearson=-0.175788
ar_4            | mse=0.143295 | mae=0.280955 | nmae=0.813727 | r2=-0.202029 | pearson=0.307413
ar_2            | mse=0.151141 | mae=0.288117 | nmae=0.834468 | r2=-0.267842 | pearson=0.291095
time_space_4    | mse=0.153419 | mae=0.291828 | nmae=0.845218 | r2=-0.286948 | pearson=0.418791
ar_1            | mse=0.154020 | mae=0.286171 | nmae=0.828833 | r2=-0.291992 | pearson=0.285003
next_state_hidden | mse=0.156958 | mae=0.284122 | nmae=0.822897 | r2=-0.316637 | pearson=0.297862
time_space_11   | mse=0.157577 | mae=0.286192 | nmae=0.828894 | r2=-0.321828 | pearson=0.291927
ar_3            | mse=0.165413 | mae=0.292585 | nmae=0.847408 | r2=-0.387561 | pearson=0.218620
time_space_5    | mse=0.198534 | mae=0.334405 | nmae=0.968531 | r2=-0.665394 | pearson=0.260537
time_space_6    | mse=0.199205 | mae=0.334368 | nmae=0.968424 | r2=-0.671022 | pearson=0.249226
==========================================

===== summary sorted by r2: past_heading_change =====
time_space_0    | mse=0.513022 | mae=0.508666 | nmae=0.491081 | r2=0.521837 | pearson=0.728059
time_space_1    | mse=0.561361 | mae=0.560288 | nmae=0.540918 | r2=0.476783 | pearson=0.709453
time_space_2    | mse=0.822846 | mae=0.652186 | nmae=0.629639 | r2=0.233065 | pearson=0.585362
time_space_10   | mse=0.915973 | mae=0.698432 | nmae=0.674286 | r2=0.146265 | pearson=0.506557
time_space_9    | mse=0.945893 | mae=0.713528 | nmae=0.688860 | r2=0.118379 | pearson=0.541048
time_space_7    | mse=0.953680 | mae=0.723593 | nmae=0.698577 | r2=0.111121 | pearson=0.492007
time_space_8    | mse=1.041289 | mae=0.770455 | nmae=0.743819 | r2=0.029465 | pearson=0.476735
ar_5            | mse=1.055338 | mae=0.781630 | nmae=0.754607 | r2=0.016370 | pearson=0.429805
raw_pose_yaw_past | mse=1.170687 | mae=0.808504 | nmae=0.780552 | r2=-0.091141 | pearson=-0.071629
tokenizer_last  | mse=1.181436 | mae=0.796074 | nmae=0.768552 | r2=-0.101159 | pearson=0.154852
ar_0            | mse=1.181688 | mae=0.838015 | nmae=0.809043 | r2=-0.101394 | pearson=0.368742
time_space_3    | mse=1.217389 | mae=0.792225 | nmae=0.764836 | r2=-0.134669 | pearson=0.492647
raw_pose_yaw_full | mse=1.232720 | mae=0.819210 | nmae=0.790889 | r2=-0.148958 | pearson=-0.175788
ar_4            | mse=1.289659 | mae=0.842865 | nmae=0.813725 | r2=-0.202029 | pearson=0.307413
ar_2            | mse=1.360270 | mae=0.864351 | nmae=0.834469 | r2=-0.267843 | pearson=0.291094
time_space_4    | mse=1.380774 | mae=0.875487 | nmae=0.845219 | r2=-0.286953 | pearson=0.418790
ar_1            | mse=1.386183 | mae=0.858515 | nmae=0.828834 | r2=-0.291994 | pearson=0.285002
next_state_hidden | mse=1.412625 | mae=0.852366 | nmae=0.822898 | r2=-0.316639 | pearson=0.297861
time_space_11   | mse=1.418190 | mae=0.858574 | nmae=0.828892 | r2=-0.321826 | pearson=0.291928
ar_3            | mse=1.488719 | mae=0.877754 | nmae=0.847408 | r2=-0.387563 | pearson=0.218619
time_space_5    | mse=1.786807 | mae=1.003216 | nmae=0.968533 | r2=-0.665397 | pearson=0.260536
time_space_6    | mse=1.792840 | mae=1.003103 | nmae=0.968424 | r2=-0.671020 | pearson=0.249226
==========================================

===== summary sorted by r2: future_speed =====
time_space_0    | mse=0.270231 | mae=0.383467 | nmae=0.083672 | r2=0.987134 | pearson=0.993597
time_space_1    | mse=0.391323 | mae=0.476236 | nmae=0.103914 | r2=0.981369 | pearson=0.990913
time_space_2    | mse=0.430131 | mae=0.511444 | nmae=0.111596 | r2=0.979521 | pearson=0.990537
time_space_3    | mse=0.657550 | mae=0.625636 | nmae=0.136512 | r2=0.968694 | pearson=0.986646
time_space_10   | mse=0.725528 | mae=0.678825 | nmae=0.148118 | r2=0.965457 | pearson=0.984146
time_space_9    | mse=0.787373 | mae=0.720928 | nmae=0.157305 | r2=0.962513 | pearson=0.983694
ar_2            | mse=0.793160 | mae=0.708900 | nmae=0.154680 | r2=0.962237 | pearson=0.981740
ar_5            | mse=0.853289 | mae=0.709376 | nmae=0.154784 | r2=0.959375 | pearson=0.981031
ar_0            | mse=0.863340 | mae=0.747917 | nmae=0.163194 | r2=0.958896 | pearson=0.980644
ar_4            | mse=0.868058 | mae=0.727222 | nmae=0.158678 | r2=0.958672 | pearson=0.980116
time_space_6    | mse=0.880795 | mae=0.727689 | nmae=0.158780 | r2=0.958065 | pearson=0.981745
ar_1            | mse=0.894999 | mae=0.765057 | nmae=0.166934 | r2=0.957389 | pearson=0.979149
ar_3            | mse=0.922887 | mae=0.749213 | nmae=0.163477 | r2=0.956061 | pearson=0.979657
time_space_4    | mse=0.948109 | mae=0.752922 | nmae=0.164286 | r2=0.954860 | pearson=0.982076
time_space_7    | mse=0.959113 | mae=0.795771 | nmae=0.173635 | r2=0.954336 | pearson=0.980541
time_space_8    | mse=0.985555 | mae=0.806170 | nmae=0.175904 | r2=0.953078 | pearson=0.979722
time_space_11   | mse=1.086040 | mae=0.836870 | nmae=0.182603 | r2=0.948293 | pearson=0.974586
next_state_hidden | mse=1.094565 | mae=0.844622 | nmae=0.184294 | r2=0.947887 | pearson=0.974368
time_space_5    | mse=1.513641 | mae=0.952196 | nmae=0.207767 | r2=0.927935 | pearson=0.972830
tokenizer_last  | mse=8.606850 | mae=2.348698 | nmae=0.512480 | r2=0.590226 | pearson=0.774859
raw_pose_yaw_full | mse=21.709230 | mae=3.930019 | nmae=0.857521 | r2=-0.033581 | pearson=0.150968
raw_pose_yaw_past | mse=23.043375 | mae=4.160808 | nmae=0.907879 | r2=-0.097100 | pearson=-0.100024
==========================================

===== summary sorted by r2: future_yaw_rate =====
ar_5            | mse=0.085655 | mae=0.222126 | nmae=0.483348 | r2=0.594422 | pearson=0.793212
ar_1            | mse=0.087960 | mae=0.225271 | nmae=0.490191 | r2=0.583508 | pearson=0.790486
ar_4            | mse=0.098445 | mae=0.238036 | nmae=0.517968 | r2=0.533862 | pearson=0.758081
ar_0            | mse=0.101848 | mae=0.244633 | nmae=0.532323 | r2=0.517749 | pearson=0.756489
ar_2            | mse=0.105886 | mae=0.243037 | nmae=0.528850 | r2=0.498630 | pearson=0.742764
ar_3            | mse=0.109046 | mae=0.247491 | nmae=0.538542 | r2=0.483666 | pearson=0.724698
time_space_0    | mse=0.148076 | mae=0.286947 | nmae=0.624400 | r2=0.298860 | pearson=0.643050
time_space_9    | mse=0.172852 | mae=0.312169 | nmae=0.679283 | r2=0.181543 | pearson=0.602258
time_space_11   | mse=0.206929 | mae=0.354009 | nmae=0.770328 | r2=0.020188 | pearson=0.540789
tokenizer_last  | mse=0.218024 | mae=0.336743 | nmae=0.732757 | r2=-0.032348 | pearson=0.123622
time_space_2    | mse=0.218628 | mae=0.358032 | nmae=0.779081 | r2=-0.035205 | pearson=0.577315
next_state_hidden | mse=0.219247 | mae=0.363289 | nmae=0.790520 | r2=-0.038139 | pearson=0.522753
time_space_10   | mse=0.219677 | mae=0.344803 | nmae=0.750295 | r2=-0.040173 | pearson=0.543961
time_space_8    | mse=0.221919 | mae=0.342806 | nmae=0.745949 | r2=-0.050790 | pearson=0.534293
raw_pose_yaw_past | mse=0.223784 | mae=0.342313 | nmae=0.744875 | r2=-0.059622 | pearson=0.006317
raw_pose_yaw_full | mse=0.229013 | mae=0.345612 | nmae=0.752055 | r2=-0.084382 | pearson=-0.091333
time_space_1    | mse=0.258253 | mae=0.391805 | nmae=0.852571 | r2=-0.222832 | pearson=0.519172
time_space_7    | mse=0.310941 | mae=0.382399 | nmae=0.832104 | r2=-0.472312 | pearson=0.469561
time_space_3    | mse=0.311233 | mae=0.418216 | nmae=0.910043 | r2=-0.473693 | pearson=0.482662
